Age,Attrition,BusinessTravel,DailyRate,i,Education,EducationField,Gender,HourlyRate,JobLevel,]=,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,OverTime,PercentSalaryHike,PerformanceRating,StandardHours,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion
31,No,Travel_Rarely,408,Research & Development,4,Life Sciences,Male,42,1,Research Scientist,2,Single,2657,7551,Yes,16,3,80,3,5,3,2,2,2
21,Yes,Travel_Rarely,156,Sales,3,Life Sciences,Female,90,1,Sales Representative,2,Single,2716,25422,No,15,3,80,1,0,3,1,0,0
29,No,Travel_Rarely,1283,Research & Development,3,Life Sciences,Male,54,1,Research Scientist,4,Single,2201,18168,No,16,3,80,6,4,3,3,2,1
35,No,Travel_Rarely,755,Research & Development,4,Life Sciences,Male,97,2,Healthcare Representative,2,Single,6540,19394,No,19,3,80,10,5,3,1,1,0
27,No,Travel_Rarely,1469,Research & Development,2,Medical,Male,82,1,Laboratory Technician,2,Divorced,3816,17881,No,11,3,80,5,2,3,5,2,0
28,No,Travel_Rarely,304,Sales,4,Life Sciences,Male,92,2,Sales Executive,4,Single,5253,20750,No,16,3,80,7,1,3,7,5,0
49,No,Travel_Rarely,1261,Research & Development,3,Other,Male,31,3,Healthcare Representative,3,Single,10965,12066,No,24,4,80,26,2,3,5,2,0
51,No,Travel_Rarely,1178,Sales,2,Life Sciences,Female,87,2,Sales Executive,4,Married,4936,14862,No,11,3,80,18,2,2,7,7,0
36,No,Travel_Rarely,329,Research & Development,3,Life Sciences,Female,96,1,Research Scientist,3,Married,2543,11868,No,13,3,80,6,3,3,2,2,2
34,Yes,Non-Travel,1362,Sales,3,Marketing,Male,67,2,Sales Executive,4,Single,5304,4652,Yes,13,3,80,9,3,2,5,2,0
55,No,Travel_Rarely,1311,Research & Development,3,Life Sciences,Female,97,4,Manager,4,Single,16659,23258,Yes,13,3,80,30,2,3,5,4,1
24,No,Travel_Rarely,1371,Sales,4,Marketing,Female,77,2,Sales Executive,3,Divorced,4260,5915,Yes,12,3,80,5,2,4,5,2,0
30,No,Travel_Rarely,202,Sales,1,Technical Degree,Male,72,1,Sales Representative,2,Married,2476,17434,No,18,3,80,1,3,3,1,0,0
26,Yes,Travel_Frequently,575,Research & Development,1,Technical Degree,Male,73,1,Research Scientist,1,Single,3102,6582,No,22,4,80,7,2,3,6,4,0
22,No,Travel_Rarely,253,Research & Development,3,Medical,Female,43,1,Research Scientist,2,Married,2244,24440,No,13,3,80,2,1,3,2,1,1
36,No,Travel_Rarely,164,Sales,2,Medical,Male,61,3,Sales Executive,3,Married,7596,3809,No,13,3,80,10,2,3,10,9,9
30,Yes,Travel_Frequently,464,Research & Development,3,Technical Degree,Male,40,1,Research Scientist,4,Single,2285,3427,Yes,23,4,80,3,4,3,1,0,0
37,No,Travel_Rarely,1107,Research & Development,3,Life Sciences,Female,95,1,Laboratory Technician,1,Divorced,3034,26914,No,12,3,80,18,2,2,18,7,12
40,No,Travel_Rarely,759,Sales,2,Marketing,Female,46,2,Sales Executive,2,Divorced,5715,22553,No,12,3,80,8,5,3,5,4,1
42,No,Travel_Rarely,201,Research & Development,4,Life Sciences,Female,95,1,Laboratory Technician,1,Divorced,2576,20490,No,16,3,80,8,5,3,5,2,1
37,No,Travel_Rarely,1305,Research & Development,4,Life Sciences,Male,49,2,Manufacturing Director,2,Single,4197,21123,Yes,12,3,80,18,2,2,1,0,0
43,No,Travel_Rarely,982,Research & Development,3,Life Sciences,Male,59,4,Research Director,2,Divorced,14336,4345,No,11,3,80,25,3,3,25,10,3
40,No,Travel_Rarely,555,Research & Development,3,Medical,Female,78,2,Laboratory Technician,3,Married,3448,13436,No,22,4,80,20,3,3,1,0,0
54,No,Travel_Rarely,821,Research & Development,2,Medical,Male,86,5,Research Director,1,Married,19406,8509,No,11,3,80,24,4,2,4,2,1
34,No,Non-Travel,1381,Sales,4,Marketing,Female,72,2,Sales Executive,3,Married,6538,12740,No,15,3,80,6,3,3,3,2,1
31,No,Travel_Rarely,480,Research & Development,2,Medical,Female,31,2,Manufacturing Director,1,Married,4306,4156,No,12,3,80,13,5,1,13,10,3
43,No,Travel_Frequently,313,Research & Development,3,Medical,Male,61,1,Laboratory Technician,4,Married,2258,15238,No,20,4,80,8,1,3,3,2,1
43,No,Travel_Rarely,1473,Research & Development,4,Other,Female,74,2,Healthcare Representative,3,Divorced,4522,2227,Yes,14,3,80,8,3,3,5,2,0
25,No,Travel_Rarely,891,Sales,2,Life Sciences,Female,99,2,Sales Executive,4,Single,4487,12090,Yes,11,3,80,5,3,3,5,4,1
37,No,Non-Travel,1063,Research & Development,5,Medical,Female,72,2,Research Scientist,3,Married,4449,23866,Yes,15,3,80,15,2,3,13,11,10
31,No,Travel_Rarely,329,Research & Development,2,Life Sciences,Male,98,1,Laboratory Technician,1,Married,2218,16193,No,12,3,80,4,3,3,4,2,3
39,No,Travel_Frequently,1218,Research & Development,1,Life Sciences,Male,52,5,Manager,3,Divorced,19197,8213,Yes,14,3,80,21,3,3,21,8,1
56,No,Travel_Frequently,906,Sales,3,Life Sciences,Female,86,4,Sales Executive,1,Married,13212,18256,No,11,3,80,36,0,2,7,7,7
30,No,Travel_Rarely,1082,Sales,3,Technical Degree,Female,83,2,Sales Executive,3,Single,6577,19558,No,11,3,80,6,6,3,5,4,4
41,No,Travel_Rarely,645,Sales,3,Marketing,Male,49,3,Sales Executive,1,Married,8392,19566,No,16,3,80,10,2,3,10,7,0
28,No,Travel_Rarely,1300,Research & Development,2,Medical,Male,79,2,Laboratory Technician,1,Divorced,4558,13535,No,12,3,80,10,2,3,10,0,1
25,Yes,Travel_Rarely,688,Research & Development,3,Medical,Male,91,1,Laboratory Technician,1,Married,4031,9396,No,13,3,80,6,5,3,2,2,0
52,No,Travel_Rarely,319,Research & Development,3,Medical,Male,39,3,Manufacturing Director,3,Married,7969,19609,Yes,14,3,80,28,4,3,5,4,0
45,No,Travel_Rarely,192,Research & Development,2,Life Sciences,Male,69,1,Research Scientist,4,Married,2654,9655,No,21,4,80,8,3,2,2,2,0
52,No,Travel_Rarely,1490,Research & Development,2,Life Sciences,Female,30,4,Manager,4,Married,16555,10310,No,13,3,80,31,2,1,5,2,1
42,No,Travel_Frequently,532,Research & Development,2,Life Sciences,Female,92,2,Research Scientist,3,Divorced,4556,12932,No,11,3,80,19,3,3,5,4,0
30,No,Travel_Rarely,317,Research & Development,3,Life Sciences,Female,43,2,Manufacturing Director,4,Single,6091,24793,No,20,4,80,11,2,3,5,4,0
60,No,Travel_Rarely,422,Research & Development,3,Life Sciences,Female,41,5,Manager,1,Married,19566,3854,No,11,3,80,33,5,1,29,8,11
46,No,Travel_Rarely,1485,Research & Development,3,Medical,Female,87,2,Manufacturing Director,3,Divorced,4810,26314,No,14,3,80,19,5,2,10,7,0
42,No,Travel_Frequently,1368,Research & Development,4,Technical Degree,Female,88,2,Healthcare Representative,4,Married,4523,4386,No,11,3,80,7,4,4,6,5,0
24,Yes,Travel_Rarely,1448,Sales,1,Technical Degree,Female,62,1,Sales Representative,2,Single,3202,21972,Yes,16,3,80,6,4,3,5,3,1
34,Yes,Travel_Frequently,296,Sales,2,Marketing,Female,33,1,Sales Representative,3,Divorced,2351,12253,No,16,3,80,3,3,2,2,2,1
38,No,Travel_Frequently,1490,Research & Development,2,Life Sciences,Male,42,1,Laboratory Technician,4,Married,1702,12106,Yes,23,4,80,1,3,3,1,0,0
40,No,Travel_Rarely,1398,Sales,4,Life Sciences,Female,79,5,Manager,3,Married,18041,13022,No,14,3,80,21,2,3,20,15,1
26,No,Travel_Rarely,1349,Research & Development,3,Life Sciences,Female,90,1,Research Scientist,4,Divorced,2886,3032,No,22,4,80,3,3,1,3,2,0
30,No,Non-Travel,1400,Research & Development,3,Life Sciences,Male,53,1,Laboratory Technician,4,Married,2097,16734,No,15,3,80,9,3,1,5,3,1
29,No,Travel_Rarely,986,Research & Development,4,Medical,Male,93,3,Research Director,3,Married,11935,21526,No,18,3,80,10,2,3,10,2,0
29,Yes,Travel_Rarely,408,Research & Development,5,Technical Degree,Female,71,1,Research Scientist,2,Married,2546,18300,No,16,3,80,6,2,4,2,2,1
19,Yes,Travel_Rarely,489,Human Resources,2,Technical Degree,Male,52,1,Human Resources,4,Single,2564,18437,No,12,3,80,1,3,4,1,0,0
30,No,Non-Travel,1398,Sales,4,Other,Female,69,3,Sales Executive,1,Married,8412,2890,No,11,3,80,10,3,3,9,8,7
57,No,Travel_Rarely,210,Sales,3,Marketing,Male,56,4,Manager,4,Divorced,14118,22102,No,12,3,80,32,3,2,1,0,0
50,No,Travel_Rarely,1099,Research & Development,4,Life Sciences,Male,88,4,Manager,3,Married,17046,9314,No,15,3,80,28,2,3,27,10,15
30,No,Non-Travel,1116,Research & Development,3,Medical,Female,49,1,Laboratory Technician,4,Single,2564,7181,No,14,3,80,12,2,2,11,7,6
60,No,Travel_Frequently,1499,Sales,3,Marketing,Female,80,3,Sales Executive,1,Married,10266,2845,No,19,3,80,22,5,4,18,13,13
47,No,Travel_Rarely,983,Research & Development,2,Medical,Female,65,2,Manufacturing Director,4,Divorced,5070,7389,No,13,3,80,20,2,3,5,0,0
46,No,Travel_Rarely,1009,Research & Development,3,Life Sciences,Male,51,4,Research Director,3,Married,17861,2288,No,13,3,80,26,2,1,3,2,0
35,No,Travel_Rarely,144,Research & Development,3,Life Sciences,Male,46,1,Laboratory Technician,3,Single,4230,19225,No,15,3,80,6,2,3,5,4,4
54,No,Travel_Rarely,548,Research & Development,4,Life Sciences,Female,42,2,Laboratory Technician,3,Single,3780,23428,No,11,3,80,19,3,3,1,0,0
34,No,Travel_Rarely,1303,Research & Development,4,Life Sciences,Male,62,1,Research Scientist,3,Divorced,2768,8416,No,12,3,80,14,3,3,7,3,5
46,No,Travel_Rarely,1125,Sales,3,Marketing,Female,94,3,Sales Executive,4,Married,9071,11563,Yes,19,3,80,15,3,3,3,2,1
31,No,Travel_Rarely,1274,Research & Development,1,Life Sciences,Male,33,3,Manufacturing Director,2,Divorced,10648,14394,No,25,4,80,13,6,4,13,8,0
33,Yes,Travel_Rarely,1277,Research & Development,1,Medical,Male,56,3,Manager,3,Married,13610,24619,Yes,12,3,80,15,2,4,7,6,7
33,Yes,Travel_Rarely,587,Research & Development,1,Medical,Male,38,1,Laboratory Technician,4,Divorced,3408,6705,No,13,3,80,8,2,3,4,3,1
30,No,Travel_Rarely,413,Sales,1,Marketing,Male,57,1,Sales Representative,2,Single,2983,18398,No,14,3,80,4,3,3,3,2,1
35,No,Travel_Rarely,1276,Research & Development,3,Life Sciences,Male,72,3,Healthcare Representative,3,Married,7632,14295,Yes,12,3,80,10,2,3,8,7,0
31,Yes,Travel_Frequently,534,Research & Development,3,Life Sciences,Male,66,3,Healthcare Representative,3,Married,9824,22908,No,12,3,80,12,2,3,1,0,0
34,Yes,Travel_Frequently,988,Human Resources,3,Human Resources,Female,43,3,Human Resources,1,Divorced,9950,11533,Yes,15,3,80,11,2,3,3,2,0
42,No,Travel_Frequently,1474,Research & Development,2,Other,Male,97,1,Laboratory Technician,3,Married,2093,9260,No,17,3,80,8,4,3,2,2,2
36,No,Non-Travel,635,Sales,4,Medical,Male,32,3,Sales Executive,4,Single,9980,15318,No,14,3,80,10,3,2,10,3,9
22,Yes,Travel_Frequently,1368,Research & Development,1,Technical Degree,Male,99,1,Laboratory Technician,3,Single,3894,9129,No,16,3,80,4,3,3,2,2,1
48,No,Travel_Rarely,163,Sales,5,Marketing,Female,37,2,Sales Executive,4,Married,4051,19658,No,14,3,80,14,2,3,9,7,6
55,No,Travel_Rarely,1117,Sales,5,Life Sciences,Female,83,4,Manager,2,Single,16835,9873,No,23,4,80,37,2,3,10,9,7
41,No,Non-Travel,267,Sales,2,Life Sciences,Male,56,2,Sales Executive,4,Single,6230,13430,No,14,3,80,16,3,3,14,3,1
35,No,Travel_Rarely,619,Sales,3,Marketing,Male,85,2,Sales Executive,3,Married,4717,18659,No,11,3,80,15,2,3,11,9,6
40,No,Travel_Rarely,302,Research & Development,3,Life Sciences,Female,75,4,Manufacturing Director,3,Single,13237,20364,No,15,3,80,22,3,3,20,6,5
39,No,Travel_Frequently,443,Research & Development,1,Life Sciences,Female,48,1,Laboratory Technician,3,Married,3755,17872,No,11,3,80,8,3,3,8,3,0
31,No,Travel_Rarely,828,Sales,1,Life Sciences,Male,77,2,Sales Executive,4,Single,6582,8346,Yes,13,3,80,10,2,4,6,5,0
42,No,Travel_Rarely,319,Research & Development,3,Medical,Male,56,3,Manufacturing Director,1,Married,7406,6950,Yes,21,4,80,10,5,2,10,9,5
45,No,Travel_Rarely,561,Sales,3,Other,Male,61,2,Sales Executive,2,Married,4805,16177,No,19,3,80,9,3,4,8,7,3
26,Yes,Travel_Frequently,426,Human Resources,4,Life Sciences,Female,58,1,Human Resources,3,Divorced,2741,22808,Yes,11,3,80,8,2,2,7,7,1
29,No,Travel_Rarely,232,Research & Development,3,Technical Degree,Male,34,2,Manufacturing Director,4,Divorced,4262,22645,No,12,3,80,8,2,4,3,2,1
33,No,Travel_Rarely,922,Research & Development,5,Medical,Female,95,4,Research Director,3,Divorced,16184,22578,No,19,3,80,10,2,3,6,1,0
31,No,Travel_Rarely,688,Sales,3,Life Sciences,Male,44,3,Manager,4,Divorced,11557,25291,No,21,4,80,10,3,2,5,4,0
18,Yes,Travel_Frequently,1306,Sales,3,Marketing,Male,69,1,Sales Representative,2,Single,1878,8059,Yes,14,3,80,0,3,3,0,0,0
40,No,Non-Travel,1094,Sales,3,Other,Male,58,3,Sales Executive,1,Divorced,10932,11373,No,15,3,80,20,2,3,1,0,0
41,No,Non-Travel,509,Research & Development,4,Other,Female,62,2,Healthcare Representative,3,Single,6811,2112,Yes,17,3,80,10,3,3,8,7,0
26,No,Travel_Rarely,775,Sales,2,Medical,Male,45,2,Sales Executive,3,Divorced,4306,4267,No,12,3,80,8,5,3,0,0,0
35,No,Travel_Rarely,195,Sales,3,Medical,Female,80,2,Sales Executive,3,Single,4859,6698,No,16,3,80,5,3,3,5,4,0
34,No,Travel_Rarely,258,Sales,4,Life Sciences,Male,74,2,Sales Executive,4,Single,5337,19921,No,12,3,80,10,3,3,10,7,5
26,Yes,Travel_Rarely,471,Research & Development,3,Technical Degree,Male,66,1,Laboratory Technician,4,Single,2340,23213,Yes,18,3,80,1,3,1,1,0,0
37,No,Travel_Rarely,799,Research & Development,3,Technical Degree,Female,59,3,Manufacturing Director,4,Single,7491,23848,No,17,3,80,12,3,4,6,5,1
46,No,Travel_Frequently,1034,Research & Development,1,Medical,Female,86,3,Healthcare Representative,3,Married,10527,8984,No,11,3,80,28,3,2,2,2,1
41,No,Travel_Rarely,1276,Sales,5,Life Sciences,Female,91,4,Manager,1,Married,16595,5626,No,16,3,80,22,2,3,18,16,11
37,No,Non-Travel,142,Sales,4,Medical,Male,69,3,Sales Executive,2,Divorced,8834,24666,No,13,3,80,9,6,3,9,5,7
52,No,Travel_Rarely,956,Research & Development,2,Technical Degree,Male,78,2,Research Scientist,1,Divorced,5577,22087,Yes,12,3,80,18,3,3,10,9,6
32,Yes,Non-Travel,1474,Sales,4,Other,Male,60,2,Sales Executive,3,Married,4707,23914,No,12,3,80,6,2,3,4,2,1
24,No,Travel_Frequently,535,Sales,3,Medical,Male,38,1,Sales Representative,4,Married,2400,5530,No,13,3,80,3,3,3,2,2,2
38,No,Travel_Rarely,1495,Research & Development,3,Medical,Female,76,2,Healthcare Representative,3,Married,9824,22174,No,19,3,80,18,4,3,1,0,0
37,No,Travel_Rarely,446,Research & Development,4,Life Sciences,Female,65,2,Manufacturing Director,2,Married,6447,15701,No,12,3,80,8,2,2,6,5,4
49,No,Travel_Rarely,1245,Research & Development,4,Life Sciences,Male,58,5,Research Director,3,Divorced,19502,2125,Yes,17,3,80,31,5,3,31,9,0
24,No,Travel_Rarely,691,Research & Development,3,Medical,Male,89,1,Research Scientist,4,Married,2725,21630,Yes,11,3,80,6,3,3,6,5,1
26,No,Travel_Rarely,703,Sales,2,Marketing,Male,66,2,Sales Executive,2,Married,6272,7428,No,20,4,80,6,5,4,5,3,1
24,No,Travel_Rarely,823,Research & Development,2,Other,Male,94,1,Laboratory Technician,2,Married,2127,9100,No,21,4,80,1,2,3,1,0,0
50,No,Travel_Frequently,1246,Human Resources,3,Medical,Male,99,5,Manager,2,Married,18200,7999,No,11,3,80,32,2,3,32,5,10
25,No,Travel_Rarely,622,Sales,1,Medical,Male,40,1,Sales Representative,3,Married,2096,26376,No,11,3,80,7,1,3,7,4,0
24,Yes,Travel_Frequently,1287,Research & Development,3,Life Sciences,Female,55,1,Laboratory Technician,3,Married,2886,14168,Yes,16,3,80,6,4,3,6,3,1
30,Yes,Travel_Frequently,448,Sales,4,Life Sciences,Male,74,1,Sales Representative,1,Married,2033,14470,No,18,3,80,1,2,4,1,0,0
34,No,Travel_Rarely,254,Research & Development,2,Life Sciences,Male,83,1,Research Scientist,4,Married,3622,22794,Yes,13,3,80,6,3,3,6,5,1
31,Yes,Travel_Rarely,1365,Sales,4,Medical,Male,46,2,Sales Executive,1,Divorced,4233,11512,No,17,3,80,9,2,1,3,1,1
35,No,Travel_Rarely,538,Research & Development,2,Other,Male,54,2,Laboratory Technician,4,Single,3681,14004,No,14,3,80,9,3,3,3,2,0
31,No,Travel_Rarely,525,Sales,4,Medical,Male,66,2,Sales Executive,4,Divorced,5460,6219,No,22,4,80,13,4,4,7,7,5
27,No,Travel_Rarely,798,Research & Development,4,Medical,Female,66,1,Research Scientist,3,Divorced,2187,5013,No,12,3,80,6,5,2,5,3,0
37,No,Travel_Rarely,558,Sales,3,Marketing,Male,75,2,Sales Executive,3,Married,9602,3010,Yes,11,3,80,17,3,2,3,0,1
20,No,Travel_Rarely,959,Research & Development,3,Life Sciences,Female,83,1,Research Scientist,2,Single,2836,11757,No,13,3,80,1,0,4,1,0,0
42,No,Travel_Rarely,622,Research & Development,4,Life Sciences,Female,81,2,Healthcare Representative,4,Married,4089,5718,No,13,3,80,10,4,3,10,2,2
43,No,Travel_Rarely,782,Research & Development,4,Other,Male,50,4,Research Director,4,Divorced,16627,2671,Yes,14,3,80,21,3,2,1,0,0
38,No,Travel_Rarely,362,Research & Development,1,Life Sciences,Female,43,1,Research Scientist,1,Single,2619,14561,No,17,3,80,8,3,2,0,0,0
43,No,Travel_Frequently,1001,Research & Development,5,Medical,Male,72,2,Laboratory Technician,3,Divorced,5679,19627,Yes,13,3,80,10,3,3,8,7,4
48,No,Travel_Rarely,1236,Research & Development,4,Life Sciences,Female,40,4,Manager,1,Married,15402,17997,No,11,3,80,21,3,1,3,2,0
44,No,Travel_Rarely,1112,Human Resources,4,Life Sciences,Female,50,2,Human Resources,3,Single,5985,26894,No,11,3,80,10,1,4,2,2,0
34,No,Travel_Rarely,204,Sales,3,Technical Degree,Female,31,1,Sales Representative,3,Divorced,2579,2912,Yes,18,3,80,8,3,3,8,2,0
27,Yes,Travel_Rarely,1420,Sales,1,Marketing,Male,85,1,Sales Representative,1,Divorced,3041,16346,No,11,3,80,5,3,3,4,3,0
21,No,Travel_Rarely,1343,Sales,1,Technical Degree,Male,49,1,Sales Representative,3,Single,3447,24444,No,11,3,80,3,2,3,3,2,1
44,No,Travel_Rarely,1315,Research & Development,4,Other,Male,35,5,Manager,4,Married,19513,9358,Yes,12,3,80,26,2,4,2,2,0
22,No,Travel_Rarely,604,Research & Development,1,Medical,Male,69,1,Research Scientist,3,Married,2773,12145,No,20,4,80,3,3,3,2,2,2
33,No,Travel_Rarely,1216,Sales,4,Marketing,Male,39,2,Sales Executive,3,Divorced,7104,20431,No,12,3,80,6,3,3,5,0,1
32,No,Travel_Rarely,646,Research & Development,4,Life Sciences,Female,92,2,Research Scientist,4,Married,6322,18089,Yes,12,3,80,6,2,2,6,4,0
30,No,Travel_Frequently,160,Research & Development,3,Medical,Female,71,1,Research Scientist,3,Divorced,2083,22653,No,20,4,80,1,2,3,1,0,0
53,No,Travel_Rarely,238,Sales,1,Medical,Female,34,2,Sales Executive,1,Single,8381,7507,No,20,4,80,18,2,4,14,7,8
34,No,Travel_Rarely,1397,Research & Development,5,Life Sciences,Male,42,1,Research Scientist,4,Married,2691,7660,No,12,3,80,10,4,2,10,9,8
45,Yes,Travel_Frequently,306,Sales,4,Life Sciences,Female,100,2,Sales Executive,1,Married,4286,5630,No,14,3,80,5,4,3,1,1,0
26,No,Travel_Rarely,991,Research & Development,3,Life Sciences,Female,71,1,Laboratory Technician,4,Married,2659,17759,Yes,13,3,80,3,2,3,3,2,0
37,No,Travel_Rarely,482,Research & Development,3,Other,Male,36,3,Manufacturing Director,3,Married,9434,9606,No,15,3,80,10,2,3,10,7,7
29,No,Travel_Rarely,1176,Sales,2,Medical,Female,62,2,Sales Executive,3,Married,5561,3487,No,14,3,80,6,5,2,6,0,1
35,No,Travel_Rarely,1017,Research & Development,4,Life Sciences,Male,82,2,Research Scientist,4,Single,6646,19368,No,13,3,80,17,3,3,17,11,11
33,No,Travel_Frequently,1296,Research & Development,3,Life Sciences,Male,30,2,Healthcare Representative,4,Divorced,7725,5335,No,23,4,80,15,2,1,13,11,4
54,No,Travel_Rarely,397,Human Resources,4,Medical,Male,88,3,Human Resources,2,Married,10725,6729,No,15,3,80,16,1,4,9,7,7
36,No,Travel_Rarely,913,Research & Development,2,Medical,Male,48,2,Manufacturing Director,2,Divorced,8847,13934,Yes,11,3,80,13,2,3,3,2,0
27,No,Travel_Rarely,1115,Research & Development,4,Medical,Male,54,1,Research Scientist,4,Single,2045,15174,No,13,3,80,5,0,3,4,2,1
20,Yes,Travel_Rarely,1362,Research & Development,1,Medical,Male,32,1,Research Scientist,3,Single,1009,26999,Yes,11,3,80,1,5,3,1,0,1
33,Yes,Travel_Frequently,1076,Research & Development,3,Life Sciences,Male,70,1,Research Scientist,1,Single,3348,3164,Yes,11,3,80,10,3,3,10,8,9
35,No,Non-Travel,727,Research & Development,3,Life Sciences,Male,41,1,Laboratory Technician,3,Married,1281,16900,No,18,3,80,1,3,3,1,0,0
23,No,Travel_Rarely,885,Research & Development,3,Medical,Male,58,1,Research Scientist,1,Married,2819,8544,No,16,3,80,5,3,4,3,2,0
25,No,Travel_Rarely,810,Sales,3,Life Sciences,Male,57,2,Sales Executive,2,Married,4851,15678,No,22,4,80,4,4,3,3,2,1
38,No,Travel_Rarely,243,Sales,4,Marketing,Female,46,2,Sales Executive,4,Single,4028,7791,No,20,4,80,8,2,3,7,7,0
29,No,Travel_Frequently,806,Research & Development,4,Life Sciences,Male,76,1,Research Scientist,4,Divorced,2720,18959,No,18,3,80,10,5,3,10,7,2
48,No,Travel_Rarely,817,Sales,1,Marketing,Male,56,2,Sales Executive,2,Married,8120,18597,No,12,3,80,12,3,3,2,2,2
27,No,Travel_Frequently,1410,Sales,1,Medical,Female,71,2,Sales Executive,4,Divorced,4647,16673,Yes,20,4,80,6,3,3,6,5,0
37,No,Travel_Rarely,1225,Research & Development,2,Life Sciences,Male,80,1,Research Scientist,4,Single,4680,15232,No,17,3,80,4,2,3,1,0,0
50,No,Travel_Rarely,1207,Research & Development,1,Medical,Male,74,1,Laboratory Technician,3,Married,3221,3297,Yes,11,3,80,20,3,3,20,8,3
34,No,Travel_Rarely,1442,Research & Development,3,Medical,Female,46,3,Healthcare Representative,2,Single,8621,17654,No,14,3,80,9,3,4,8,7,7
24,Yes,Travel_Rarely,693,Sales,2,Life Sciences,Female,65,2,Sales Executive,3,Single,4577,24785,No,14,3,80,4,3,3,2,2,2
39,No,Travel_Rarely,408,Research & Development,4,Technical Degree,Female,80,2,Healthcare Representative,3,Single,4553,20978,No,11,3,80,20,4,3,20,7,11
32,No,Travel_Rarely,929,Sales,3,Marketing,Male,55,2,Sales Executive,4,Single,5396,21703,No,12,3,80,10,2,2,10,7,0
50,Yes,Travel_Frequently,562,Sales,2,Technical Degree,Male,50,2,Sales Executive,3,Married,6796,23452,Yes,14,3,80,18,4,3,4,3,1
38,No,Travel_Rarely,827,Research & Development,4,Life Sciences,Female,33,2,Healthcare Representative,4,Single,7625,19383,No,13,3,80,10,4,2,9,7,1
27,No,Travel_Rarely,608,Research & Development,2,Life Sciences,Female,68,3,Manufacturing Director,1,Married,7412,6009,No,11,3,80,9,3,3,9,7,0
32,No,Travel_Rarely,1018,Research & Development,2,Life Sciences,Female,39,3,Research Director,4,Single,11159,19373,No,15,3,80,10,6,3,7,7,7
47,No,Travel_Rarely,703,Sales,4,Marketing,Male,42,2,Sales Executive,1,Single,4960,11825,No,12,3,80,20,2,3,7,7,1
40,No,Travel_Frequently,580,Sales,4,Life Sciences,Male,48,3,Sales Executive,1,Married,10475,23772,Yes,21,4,80,20,2,3,18,13,1
53,No,Travel_Rarely,970,Research & Development,3,Life Sciences,Male,59,4,Research Director,3,Married,14814,13514,No,19,3,80,32,3,3,5,1,1
41,No,Travel_Rarely,427,Human Resources,4,Human Resources,Male,73,5,Manager,4,Divorced,19141,8861,No,15,3,80,23,2,2,21,6,12
60,No,Travel_Rarely,1179,Sales,4,Marketing,Male,84,2,Sales Executive,1,Single,5405,11924,No,14,3,80,10,1,3,2,2,2
27,No,Travel_Frequently,294,Research & Development,2,Life Sciences,Male,32,3,Manufacturing Director,1,Divorced,8793,4809,No,21,4,80,9,4,2,9,7,1
41,No,Travel_Rarely,314,Human Resources,3,Human Resources,Male,59,5,Manager,3,Married,19189,19562,No,12,3,80,22,3,3,22,7,2
50,No,Travel_Rarely,316,Sales,4,Marketing,Male,54,1,Sales Representative,2,Married,3875,9983,No,15,3,80,4,2,3,2,2,2
28,Yes,Travel_Rarely,654,Research & Development,2,Life Sciences,Female,67,1,Research Scientist,2,Single,2216,3872,Yes,13,3,80,10,4,3,7,7,3
36,No,Non-Travel,427,Research & Development,3,Life Sciences,Female,63,3,Research Director,1,Married,11713,20335,No,14,3,80,10,2,3,8,7,0
38,No,Travel_Rarely,168,Research & Development,3,Life Sciences,Female,81,3,Manufacturing Director,3,Single,7861,15397,Yes,14,3,80,10,4,4,1,0,0
44,No,Non-Travel,381,Research & Development,3,Medical,Male,49,1,Laboratory Technician,3,Single,3708,2104,No,14,3,80,9,5,3,5,2,1
47,No,Travel_Frequently,217,Sales,3,Medical,Female,49,4,Sales Executive,3,Divorced,13770,10225,Yes,12,3,80,28,2,2,22,2,11
30,No,Travel_Rarely,501,Sales,5,Marketing,Male,99,2,Sales Executive,4,Divorced,5304,25275,No,23,4,80,10,2,2,8,7,7
29,No,Travel_Rarely,1396,Sales,3,Life Sciences,Male,99,1,Sales Representative,3,Single,2642,2755,No,11,3,80,1,6,3,1,0,0
42,Yes,Travel_Frequently,933,Research & Development,3,Medical,Male,57,1,Research Scientist,3,Divorced,2759,20366,Yes,12,3,80,7,2,3,2,2,2
43,No,Travel_Frequently,775,Sales,3,Life Sciences,Male,47,2,Sales Executive,4,Married,6804,23683,No,18,3,80,7,5,3,2,2,2
34,No,Travel_Rarely,970,Research & Development,2,Medical,Female,96,2,Healthcare Representative,3,Single,6142,7360,No,11,3,80,10,2,3,5,1,4
23,No,Travel_Rarely,650,Research & Development,1,Medical,Male,37,1,Laboratory Technician,1,Married,2500,4344,No,14,3,80,5,2,4,4,3,0
39,No,Travel_Rarely,141,Human Resources,3,Human Resources,Female,44,2,Human Resources,2,Married,6389,18767,No,15,3,80,12,3,1,8,3,3
56,No,Travel_Rarely,832,Research & Development,3,Medical,Male,81,4,Healthcare Representative,4,Married,11103,20420,No,11,3,80,30,1,2,10,7,1
40,No,Travel_Rarely,804,Research & Development,1,Medical,Female,86,1,Research Scientist,4,Single,2342,22929,Yes,20,4,80,5,2,2,4,2,2
